Pays,Ligue,Numéro de Pari,Date du Match,Heure de Fin de Validité,Equipe Domicile,Equipe Extérieure,Cote Domicile,Cote Nul,Cote Extérieur
France,l1-mcdonald-s,103,19/04,16h55,Paris SG,Le Havre,"1,13","9,50",17
France,l1-mcdonald-s,106,19/04,18h55,Monaco,Strasbourg,"1,52","4,60","4,80"
France,l1-mcdonald-s,107,19/04,21h00,Marseille,Montpellier,"1,20","7,30",13
France,l1-mcdonald-s,108,20/04,14h55,Lille,Auxerre,"1,43","4,40","6,05"
France,l1-mcdonald-s,109,20/04,17h10,Brest,Lens,"2,20","3,40","2,85"
France,l1-mcdonald-s,111,20/04,17h10,Reims,Toulouse,"3,10","3,30","2,10"
France,l1-mcdonald-s,110,20/04,17h10,Nice,Angers,"1,29","5,10","8,05"
France,l1-mcdonald-s,112,20/04,20h40,St Etienne,Lyon,"4,50","4,35","1,62"
France,l1-mcdonald-s,8,22/04,20h40,Nantes,Paris SG,"6,90","5,30","1,34"
Italie,serie-a,139,19/04,14h55,Lecce,Como 1907,"3,50","3,30","1,97"
Italie,serie-a,140,19/04,17h55,AC Monza,Naples,"9,45","5,25","1,25"
Italie,serie-a,141,19/04,20h40,AS Rome,Hellas Vérone,"1,33","4,65","7,75"
Italie,serie-a,142,20/04,14h55,Empoli,Venezia FC,"2,15","3,05","3,30"
Italie,serie-a,144,20/04,17h55,Bologne,Inter Milan,"2,95","3,15","2,20"
Italie,serie-a,145,20/04,20h40,Milan AC,Atalanta,"2,30","3,45","2,60"
Italie,serie-a,146,21/04,12h25,Torino,Udinese,"2,25","2,90","3,15"
Italie,serie-a,147,21/04,14h55,Cagliari,Fiorentina,"2,80","3,05","2,35"
Italie,serie-a,148,21/04,17h55,Genoa,Lazio Rome,"3,20","3,10","2,10"
Italie,serie-a,149,21/04,20h40,Parme,Juventus Turin,"4,10","3,60","1,72"
Italie,serie-a,18275,25/05,20h55,,,"1,03",,15
Espagne,laliga,116,19/04,13h55,Rayo Vallecano,CF Valence,"2,20","3,10","3,15"
Espagne,laliga,117,19/04,16h10,FC Barcelone,Celta Vigo,"1,23","6,10","8,50"
Espagne,laliga,118,19/04,18h25,Majorque,CD Leganes,"1,78","3,20","4,55"
Espagne,laliga,119,19/04,20h55,Las Palmas,Atl. Madrid,"4,90","4,20","1,53"
Espagne,laliga,120,20/04,13h55,Valladolid,Osasuna,"4,05","3,55","1,78"
Espagne,laliga,121,20/04,16h10,Villarreal,Real Sociedad,"1,66","3,70","4,50"
Espagne,laliga,122,20/04,18h25,FC Séville,Alaves,"1,95","3,00","4,00"
Espagne,laliga,123,20/04,20h55,Real Madrid,Ath. Bilbao,"1,61","3,95","4,85"
Espagne,laliga,124,21/04,20h55,Gérone,Betis Séville,"2,65","3,35","2,35"
Espagne,laliga,18267,25/05,20h55,,,"1,17",,16
Allemagne,bundesliga-1,153,19/04,15h25,Fribourg,Hoffenheim,"1,86","3,70","3,50"
Allemagne,bundesliga-1,150,19/04,15h25,FC Heidenheim,Bayern Munich,"7,90","5,75","1,26"
Allemagne,bundesliga-1,154,19/04,15h25,Mayence,Wolfsburg,"1,94","3,60","3,30"
Allemagne,bundesliga-1,155,19/04,15h25,RB Leipzig,Holstein Kiel,"1,33","5,15","6,75"
Allemagne,bundesliga-1,156,19/04,15h25,Werder Brême,Bochum,"1,68","4,00","4,05"
Allemagne,bundesliga-1,157,19/04,18h25,Union Berlin,Stuttgart,"2,65","3,45","2,35"
Allemagne,bundesliga-1,158,20/04,15h25,Augsburg,Ein.Francfort,"2,35","3,40","2,65"
Allemagne,bundesliga-1,159,20/04,17h25,Dortmund,M'Gladbach,"1,36","5,05","6,15"
Allemagne,bundesliga-1,160,20/04,19h25,St Pauli,Leverkusen,"4,40","3,70","1,67"
Allemagne,bundesliga-1,18251,26/05,20h55,,,"1,02",,20
Angleterre,premier-league,132,19/04,15h55,West Ham,Southampton,"1,46","4,40","5,75"
Angleterre,premier-league,131,19/04,15h55,Everton,Man. City,"3,90","3,70","1,79"
Angleterre,premier-league,129,19/04,15h55,Brentford,Brighton Hove,"2,30","3,60","2,65"
Angleterre,premier-league,130,19/04,15h55,Crystal Palace,Bournemouth,"2,35","3,55","2,65"
Angleterre,premier-league,133,19/04,18h25,Aston Villa,Newcastle,"2,15","3,65","2,80"
Angleterre,premier-league,134,20/04,14h55,Fulham,Chelsea,"2,70","3,50","2,25"
Angleterre,premier-league,135,20/04,14h55,Ipswich,Arsenal,"7,30","4,75","1,33"
Angleterre,premier-league,136,20/04,14h55,Man. United,Wolverhampton,"2,15","3,40","3,00"
Angleterre,premier-league,137,20/04,17h25,Leicester,Liverpool,"11,5","6,60","1,16"
Angleterre,premier-league,138,21/04,20h55,Tottenham,Nottingham F.,"2,30","3,60","2,70"
Angleterre,premier-league,18271,25/05,20h55,,,50,,500
