country_name,league_id,league_name,team_id,team_name,overall_promotion,overall_league_position,overall_league_payed,overall_league_W,overall_league_D,overall_league_L,overall_league_GF,overall_league_GA,overall_league_PTS,home_league_position,home_promotion,home_league_payed,home_league_W,home_league_D,home_league_L,home_league_GF,home_league_GA,home_league_PTS,away_league_position,away_promotion,away_league_payed,away_league_W,away_league_D,away_league_L,away_league_GF,away_league_GA,away_league_PTS,league_round,team_badge,fk_stage_key,stage_name
Germany,175,Bundesliga,72,Bayern Munich,Promotion - Champions League (League phase: ),1,27,20,5,2,78,26,65,1,,14,12,1,1,46,14,37,2,,13,8,4,1,32,12,28,,https://apiv3.apifootball.com/badges/72_bayern-munich.jpg,304,Current
Germany,175,Bundesliga,143,Bayer Leverkusen,Promotion - Champions League (League phase: ),2,27,17,8,2,62,34,59,2,,14,9,3,2,32,18,30,1,,13,8,5,0,30,16,29,,https://apiv3.apifootball.com/badges/143_bayer-leverkusen.jpg,304,Current
Germany,175,Bundesliga,3945,Eintracht Frankfurt,Promotion - Champions League (League phase: ),3,27,14,6,7,55,40,48,4,,14,8,3,3,32,20,27,6,,13,6,3,4,23,20,21,,https://apiv3.apifootball.com/badges/3945_eintracht-frankfurt.jpg,304,Current
Germany,175,Bundesliga,3939,Mainz,Promotion - Champions League (League phase: ),4,27,13,6,8,45,31,45,8,,13,6,4,3,18,12,22,4,,14,7,2,5,27,19,23,,https://apiv3.apifootball.com/badges/3939_mainz.jpg,304,Current
Germany,175,Bundesliga,77,B. Monchengladbach,Promotion - Europa League (League phase: ),5,27,13,4,10,44,40,43,7,,14,7,2,5,24,19,23,7,,13,6,2,5,20,21,20,,https://apiv3.apifootball.com/badges/77_borussia-mgladbach.jpg,304,Current
Germany,175,Bundesliga,101,RB Leipzig,Promotion - Conference League (Qualification: ),6,27,11,9,7,41,34,42,6,,13,7,4,2,24,15,25,8,,14,4,5,5,17,19,17,,https://apiv3.apifootball.com/badges/101_rb-leipzig.jpg,304,Current
Germany,175,Bundesliga,3962,Freiburg,,7,27,12,6,9,37,40,42,5,,13,8,2,3,25,15,26,11,,14,4,4,6,12,25,16,,https://apiv3.apifootball.com/badges/3962_freiburg.jpg,304,Current
Germany,175,Bundesliga,3934,Augsburg,,8,27,10,9,8,30,36,39,9,,13,6,4,3,15,12,22,10,,14,4,5,5,15,24,17,,https://apiv3.apifootball.com/badges/3934_augsburg.jpg,304,Current
Germany,175,Bundesliga,196,Wolfsburg,,9,27,10,8,9,49,41,38,12,,14,3,6,5,23,24,15,3,,13,7,2,4,26,17,23,,https://apiv3.apifootball.com/badges/196_wolfsburg.jpg,304,Current
Germany,175,Bundesliga,92,Dortmund,,10,27,11,5,11,48,42,38,3,,14,8,3,3,34,17,27,16,,13,3,2,8,14,25,11,,https://apiv3.apifootball.com/badges/92_borussia-dortmund.jpg,304,Current
Germany,175,Bundesliga,3933,Stuttgart,,11,27,10,7,10,47,44,37,10,,14,6,2,6,30,24,20,9,,13,4,5,4,17,20,17,,https://apiv3.apifootball.com/badges/3933_stuttgart.jpg,304,Current
Germany,175,Bundesliga,3930,Werder Bremen,,12,27,10,6,11,43,53,36,14,,13,3,4,6,18,26,13,5,,14,7,2,5,25,27,23,,https://apiv3.apifootball.com/badges/3930_werder-bremen.jpg,304,Current
Germany,175,Bundesliga,3936,Union Berlin,,13,27,8,6,13,25,40,30,11,,13,4,4,5,11,14,16,12,,14,4,2,8,14,26,14,,https://apiv3.apifootball.com/badges/3936_union-berlin.jpg,304,Current
Germany,175,Bundesliga,170,Hoffenheim,,14,27,6,9,12,33,49,27,13,,14,3,5,6,21,29,14,14,,13,3,4,6,12,20,13,,https://apiv3.apifootball.com/badges/170_hoffenheim.jpg,304,Current
Germany,175,Bundesliga,3921,St. Pauli,,15,27,7,4,16,22,33,25,15,,13,3,3,7,8,14,12,13,,14,4,1,9,14,19,13,,https://apiv3.apifootball.com/badges/3921_st.-pauli.jpg,304,Current
Germany,175,Bundesliga,3917,Heidenheim,Bundesliga (Relegation),16,27,6,4,17,32,52,22,18,,13,3,1,9,12,24,10,15,,14,3,3,8,20,28,12,,https://apiv3.apifootball.com/badges/3917_heidenheim.jpg,304,Current
Germany,175,Bundesliga,3911,Bochum,Relegation - 2. Bundesliga,17,27,5,5,17,28,55,20,16,,13,3,3,7,13,22,12,17,,14,2,2,10,15,33,8,,https://apiv3.apifootball.com/badges/3911_bochum.jpg,304,Current
Germany,175,Bundesliga,3914,Holstein Kiel,Relegation - 2. Bundesliga,18,27,4,5,18,38,67,17,17,,14,3,2,9,18,34,11,18,,13,1,3,9,20,33,6,,https://apiv3.apifootball.com/badges/3914_holstein-kiel.jpg,304,Current
