country_name,league_id,league_name,team_id,team_name,overall_promotion,overall_league_position,overall_league_payed,overall_league_W,overall_league_D,overall_league_L,overall_league_GF,overall_league_GA,overall_league_PTS,home_league_position,home_promotion,home_league_payed,home_league_W,home_league_D,home_league_L,home_league_GF,home_league_GA,home_league_PTS,away_league_position,away_promotion,away_league_payed,away_league_W,away_league_D,away_league_L,away_league_GF,away_league_GA,away_league_PTS,league_round,team_badge,fk_stage_key,stage_name
Spain,302,La Liga,97,Barcelona,Promotion - Champions League (League phase: ),1,29,21,3,5,82,28,66,3,,14,11,0,3,40,10,33,1,,15,10,3,2,42,18,33,,https://apiv3.apifootball.com/badges/97_barcelona.jpg,402,Current
Spain,302,La Liga,76,Real Madrid,Promotion - Champions League (League phase: ),2,29,19,6,4,62,29,63,1,,14,12,1,1,36,14,37,3,,15,7,5,3,26,15,26,,https://apiv3.apifootball.com/badges/76_real-madrid.jpg,402,Current
Spain,302,La Liga,73,Atl. Madrid,Promotion - Champions League (League phase: ),3,29,16,9,4,47,23,57,2,,15,10,4,1,27,12,34,4,,14,6,5,3,20,11,23,,https://apiv3.apifootball.com/badges/73_atletico-madrid.jpg,402,Current
Spain,302,La Liga,7258,Ath Bilbao,Promotion - Champions League (League phase: ),4,29,14,11,4,46,24,53,4,,15,8,6,1,27,9,30,5,,14,6,5,3,19,15,23,,https://apiv3.apifootball.com/badges/7258_athletic-bilbao.jpg,402,Current
Spain,302,La Liga,162,Villarreal,Promotion - Europa League (League phase: ),5,28,13,8,7,51,39,47,13,,13,5,5,3,29,21,20,2,,15,8,3,4,22,18,27,,https://apiv3.apifootball.com/badges/162_villarreal.jpg,402,Current
Spain,302,La Liga,7261,Betis,Promotion - Conference League (Qualification: ),6,29,13,8,8,40,36,47,6,,15,8,5,2,24,16,29,7,,14,5,3,6,16,20,18,,https://apiv3.apifootball.com/badges/7261_real-betis.jpg,402,Current
Spain,302,La Liga,7264,Rayo Vallecano,,7,29,10,10,9,33,31,40,14,,14,5,5,4,20,19,20,6,,15,5,5,5,13,12,20,,https://apiv3.apifootball.com/badges/7264_rayo-vallecano.jpg,402,Current
Spain,302,La Liga,7285,Mallorca,,8,29,11,7,11,28,35,40,11,,15,6,5,4,16,16,23,10,,14,5,2,7,12,19,17,,https://apiv3.apifootball.com/badges/7285_mallorca.jpg,402,Current
Spain,302,La Liga,7290,Celta Vigo,,9,28,11,6,11,41,41,39,5,,14,9,2,3,24,14,29,15,,14,2,4,8,17,27,10,,https://apiv3.apifootball.com/badges/7290_celta-vigo.jpg,402,Current
Spain,302,La Liga,153,Real Sociedad,,10,29,11,5,13,27,31,38,10,,15,7,2,6,17,15,23,11,,14,4,3,7,10,16,15,,https://apiv3.apifootball.com/badges/153_real-sociedad.jpg,402,Current
Spain,302,La Liga,89,Sevilla,,11,29,9,9,11,33,39,36,16,,14,5,4,5,12,16,19,9,,15,4,5,6,21,23,17,,https://apiv3.apifootball.com/badges/89_sevilla.jpg,402,Current
Spain,302,La Liga,7288,Getafe,,12,29,9,9,11,26,25,36,15,,15,4,7,4,13,11,19,8,,14,5,2,7,13,14,17,,https://apiv3.apifootball.com/badges/7288_getafe.jpg,402,Current
Spain,302,La Liga,7263,Girona,,13,29,9,7,13,37,45,34,12,,14,6,3,5,25,21,21,12,,15,3,4,8,12,24,13,,https://apiv3.apifootball.com/badges/7263_girona.jpg,402,Current
Spain,302,La Liga,7269,Osasuna,,14,29,7,13,9,33,42,34,7,,15,6,6,3,26,22,24,17,,14,1,7,6,7,20,10,,https://apiv3.apifootball.com/badges/7269_osasuna.jpg,402,Current
Spain,302,La Liga,7272,Valencia,,15,29,7,10,12,32,46,31,8,,15,7,3,5,21,18,24,18,,14,0,7,7,11,28,7,,https://apiv3.apifootball.com/badges/7272_valencia.jpg,402,Current
Spain,302,La Liga,7268,Espanyol,,16,28,7,8,13,27,40,29,9,,15,6,6,3,19,16,24,19,,13,1,2,10,8,24,5,,https://apiv3.apifootball.com/badges/7268_espanyol.jpg,402,Current
Spain,302,La Liga,7275,Alaves,,17,29,6,9,14,32,44,27,18,,14,4,4,6,11,15,16,13,,15,2,5,8,21,29,11,,https://apiv3.apifootball.com/badges/7275_alaves.jpg,402,Current
Spain,302,La Liga,7266,Leganes,Relegation - LaLiga2,18,29,6,9,14,28,46,27,17,,14,5,2,7,15,22,17,16,,15,1,7,7,13,24,10,,https://apiv3.apifootball.com/badges/7266_leganes.jpg,402,Current
Spain,302,La Liga,7289,Las Palmas,Relegation - LaLiga2,19,28,6,7,15,32,47,25,19,,14,3,5,6,17,21,14,14,,14,3,2,9,15,26,11,,https://apiv3.apifootball.com/badges/7289_las-palmas.jpg,402,Current
Spain,302,La Liga,7262,Valladolid,Relegation - LaLiga2,20,29,4,4,21,19,65,16,20,,14,3,4,7,8,21,13,20,,15,1,0,14,11,44,3,,https://apiv3.apifootball.com/badges/7262_real-valladolid.jpg,402,Current
